postcode,state,total_population,demographic_score,pct_professional,pct_high_income_hh,median_hh_income_weekly,pct_degree,seifa_irsad_decile,pct_wfh,median_age,avg_household_size,unemployment_pct,labour_force_participation_pct,median_rent_weekly,rank
2516,NSW,6951,61.69,47.28,44.04,2387.43,31.57,7.96,35.7,40.24,2.82,4.18,64.97,388.67,172
2193,NSW,17776,61.6,47.39,36.41,2098.01,37.12,8.12,46.27,39.2,2.57,4.69,60.0,499.79,173
2152,NSW,12335,61.6,47.92,37.12,2081.44,36.76,8.22,43.4,39.83,2.56,4.97,62.89,446.01,173
2227,NSW,16993,61.46,44.59,46.11,2544.29,28.88,7.85,38.9,40.61,2.8,3.23,66.46,621.67,175
2032,NSW,14755,61.36,48.4,33.17,1931.44,42.38,8.67,38.33,37.26,2.46,6.57,58.53,511.87,176
2103,NSW,12168,61.27,45.25,44.11,2448.2,29.68,8.11,38.14,46.65,2.66,3.49,61.14,710.52,177
2020,NSW,21598,61.19,41.23,40.54,2255.64,42.63,8.31,37.07,32.98,2.54,5.76,68.34,593.19,178
4155,QLD,1464,60.83,44.79,49.61,2985.3,28.93,7.12,24.92,44.32,3.19,3.89,65.57,409.29,179
2479,NSW,6068,60.6,52.67,34.76,2068.25,32.91,8.44,33.55,44.03,2.69,3.7,61.06,546.18,180
4055,QLD,23125,60.6,43.87,49.0,2610.07,32.72,7.71,23.46,39.48,2.98,3.84,70.78,438.03,180
2101,NSW,20644,60.59,45.02,43.62,2458.05,29.9,7.79,38.25,44.29,2.65,2.87,63.41,635.99,182
2293,NSW,3301,60.49,48.7,35.83,2022.08,37.82,8.84,30.06,37.45,2.1,3.68,72.88,491.78,183
2765,NSW,46138,60.46,39.56,50.53,2548.02,35.3,6.89,36.66,34.09,3.19,3.9,69.08,531.06,184
4120,QLD,12399,60.45,49.67,33.81,2001.97,45.58,8.76,20.37,33.83,2.16,4.19,74.14,385.29,185
2140,NSW,21377,60.3,42.52,33.27,2064.67,49.57,8.25,36.72,31.72,2.6,7.16,67.24,461.84,186
4074,QLD,24078,60.27,46.6,41.86,2339.51,37.23,8.28,21.64,40.64,2.82,4.23,66.75,482.66,187
2774,NSW,13146,60.19,45.41,41.68,2243.89,32.9,7.79,38.77,40.17,2.75,3.53,63.98,444.49,188
2007,NSW,7426,60.19,44.63,28.3,1725.26,49.58,9.09,39.3,31.13,2.08,10.13,63.43,491.87,188
2617,ACT,38068,60.15,45.85,40.04,2265.64,45.58,8.72,10.2,35.76,2.42,4.53,69.82,449.45,190
2205,NSW,26055,59.95,43.69,35.41,2080.18,42.67,8.11,39.17,33.76,2.54,6.08,62.44,521.68,191
4006,QLD,26816,59.91,49.85,30.27,1961.86,45.1,9.05,22.14,33.57,1.77,4.71,76.01,438.51,192
2206,NSW,19843,59.66,47.49,40.05,2168.13,28.18,7.51,45.38,44.07,2.85,4.01,55.07,578.9,193
4037,QLD,7825,59.54,40.61,53.58,2814.87,28.53,7.53,19.77,38.8,3.15,3.48,75.44,450.21,194
2232,NSW,36526,59.48,44.51,41.72,2320.08,30.54,7.73,39.1,40.6,2.6,3.12,65.8,537.23,195
4035,QLD,27964,59.28,42.69,47.88,2655.25,31.9,7.74,20.29,40.9,2.92,3.56,69.56,520.8,196
2229,NSW,32278,59.2,43.12,44.85,2500.79,27.38,7.69,35.91,41.63,2.71,3.05,63.87,667.27,197
2099,NSW,43545,59.17,42.67,42.28,2445.66,32.89,7.66,34.93,39.62,2.66,3.47,67.88,626.27,198
4172,QLD,5475,59.15,44.4,45.16,2536.87,33.27,7.64,22.04,35.43,2.63,3.58,75.59,500.29,199
2302,NSW,2117,59.05,52.16,30.17,1817.08,38.41,8.43,31.38,42.59,1.95,4.39,60.95,465.57,200
2157,NSW,4421,58.91,44.4,47.94,2546.42,23.62,7.31,33.51,42.47,3.23,2.66,65.01,526.22,201
2019,NSW,13469,58.84,41.99,44.5,2410.47,30.62,7.58,35.43,37.49,2.59,3.24,68.9,553.3,202
4153,QLD,4648,58.68,43.58,46.76,2575.86,32.96,7.4,20.17,40.54,2.95,3.65,69.14,492.85,203
4102,QLD,12439,58.62,48.28,31.15,1914.14,44.57,8.98,18.91,30.95,2.26,6.96,67.32,416.42,204
2508,NSW,9379,58.52,40.04,48.14,2616.44,27.53,7.21,35.19,39.47,2.96,3.12,68.3,545.24,205
4012,QLD,25044,58.48,45.0,39.07,2274.67,37.75,8.18,21.64,36.05,2.35,3.85,73.67,406.12,206
2297,NSW,1802,58.45,46.46,38.55,2076.97,38.95,7.65,26.97,36.0,2.43,5.15,71.92,406.13,207
3707,NSW,185,58.18,64.76,31.82,1916.0,12.9,8.0,32.38,48.0,2.5,0.0,66.5,250.0,208
2018,NSW,19864,58.13,44.14,35.32,2034.95,39.43,7.65,37.65,37.53,2.38,5.31,63.52,553.99,209
2260,NSW,26264,57.93,44.5,41.17,2253.84,29.23,7.85,32.69,42.81,2.74,3.06,62.02,524.01,210
2912,ACT,8598,57.61,40.5,41.2,2435.93,43.92,8.3,8.79,32.35,2.67,4.77,75.79,482.88,211
2776,NSW,4148,57.5,43.72,37.78,2166.35,32.23,7.84,36.16,40.56,2.72,2.42,63.49,458.41,212
2136,NSW,7763,57.5,45.17,34.29,1952.07,35.33,7.9,38.73,39.95,2.75,5.82,59.25,477.66,212
2117,NSW,23201,57.39,44.06,35.44,1942.07,34.96,7.85,39.94,39.82,2.81,5.03,57.03,462.46,214
4000,QLD,20854,57.3,45.72,29.01,1858.35,45.84,8.95,21.03,32.98,1.88,7.76,68.59,441.97,215
2173,NSW,14536,57.3,36.71,46.55,2510.35,29.46,7.28,37.91,33.85,3.16,3.69,70.74,470.33,215
2763,NSW,34599,57.23,38.19,44.74,2421.22,34.68,6.64,37.77,34.98,3.12,4.98,67.6,473.84,217
2576,NSW,15059,56.92,49.76,32.99,1826.63,31.8,8.1,32.16,56.43,2.34,2.85,48.39,515.23,218
2145,NSW,88453,56.79,42.56,37.01,2084.55,37.55,6.96,38.99,36.58,2.91,6.05,58.93,451.54,219
4053,QLD,49579,56.68,44.72,39.92,2196.45,33.79,7.79,21.44,37.56,2.57,4.17,69.59,425.83,220
4009,QLD,1041,56.42,47.94,30.15,1906.58,35.14,9.0,22.69,35.0,1.8,3.87,68.52,455.59,221
3691,NSW,272,56.3,56.2,37.11,2125.0,27.15,7.0,15.33,47.0,2.6,2.2,62.6,215.0,222
2133,NSW,10991,56.23,45.54,34.04,1927.37,30.45,7.69,40.75,41.38,2.71,4.22,57.58,485.02,223
2115,NSW,13209,56.17,42.85,36.91,2012.82,31.7,7.6,38.57,37.97,2.81,5.46,59.41,416.55,224
2305,NSW,15871,55.96,45.95,37.2,2056.02,33.53,7.46,26.25,41.16,2.53,3.39,66.06,418.05,225
2903,ACT,9590,55.75,44.41,42.35,2350.03,33.77,7.53,10.72,39.53,2.66,4.34,64.8,416.93,226
2289,NSW,22374,55.41,43.49,39.55,2185.82,31.38,7.34,26.12,37.97,2.65,3.79,68.32,442.42,227
2296,NSW,2030,55.34,45.35,30.66,1815.93,38.17,8.1,28.4,34.85,2.13,4.97,74.33,433.96,228
4014,QLD,13664,55.26,42.16,43.91,2384.99,30.56,7.0,20.25,37.5,2.69,4.14,71.13,445.51,229
2083,NSW,2262,55.04,44.98,35.68,1814.99,29.92,7.23,39.61,50.36,2.32,3.27,58.64,388.63,230
2224,NSW,14568,54.97,43.19,39.21,2228.61,25.21,7.32,33.74,45.72,2.75,3.32,56.43,652.65,231
4107,QLD,7744,54.76,42.2,39.49,2117.16,37.03,7.31,18.43,35.93,2.65,5.23,70.54,392.01,232
2777,NSW,17812,54.6,42.39,37.07,2044.55,28.95,7.43,34.95,44.31,2.63,3.32,61.74,429.7,233
2534,NSW,5976,54.54,45.77,34.12,1961.03,32.12,7.6,26.73,48.21,2.57,3.25,58.32,491.25,234
2778,NSW,2432,54.42,44.81,29.71,1936.53,32.8,7.73,35.46,45.53,2.52,3.87,62.26,425.4,235
2134,NSW,18387,54.08,40.93,29.13,1714.6,39.72,8.21,33.63,34.37,2.58,8.27,55.95,495.49,236
2233,NSW,30364,53.97,37.25,46.04,2465.71,23.26,6.68,33.59,41.12,2.93,2.58,65.88,579.43,237
2036,NSW,33785,53.84,40.1,38.9,2161.18,29.51,7.06,32.7,40.83,2.6,4.64,58.41,583.76,238
2902,ACT,15679,53.84,42.58,41.18,2303.1,32.16,7.43,10.32,40.96,2.6,4.18,63.06,425.38,238
2615,ACT,47320,53.67,40.86,42.3,2331.22,31.92,7.5,10.45,37.31,2.71,4.01,68.46,427.21,240
2782,NSW,6441,53.57,46.14,26.15,1560.42,35.27,7.77,38.02,49.95,2.33,4.38,50.59,429.9,241
2481,NSW,14213,53.43,44.86,32.1,1863.81,33.23,7.51,27.54,41.07,2.48,4.96,60.46,589.43,242
4112,QLD,9391,53.42,41.49,36.53,2096.77,36.57,7.55,16.31,36.76,3.26,6.13,62.16,486.01,243
2213,NSW,23943,53.27,38.93,40.34,2122.66,25.86,6.66,40.1,39.01,2.9,4.13,58.91,480.52,244
2217,NSW,31200,53.22,41.19,32.38,1955.39,34.35,7.36,32.89,40.16,2.56,5.51,59.93,514.92,245
