postcode,region_name,market_share_pct,market_size_dollars,customer_penetration_pct,spend_per_customer,spend_per_transaction,transactions_per_customer,nearest_store,distance_km,distance_tier,yoy_share_pct,share_trend_pp,period,yoy_period
2380,Gunnedah,,,,,,,Orange,263.16,No Presence (20km+),0.107,,202512,202412
2381,Curlewis (NSW),,,,,,,Cooks Hill,235.98,No Presence (20km+),,,202512,202412
2388,Wee Waa,,,,,,,Orange,315.18,No Presence (20km+),,,202512,202412
2390,Narrabri,,,,,,,Cooks Hill,341.43,No Presence (20km+),,,202512,202412
2396,Baradine,,,,,,,Orange,265.18,No Presence (20km+),,,202512,202412
2398,Gurley,,,,,,,Cooks Hill,400.78,No Presence (20km+),,,202512,202412
2400,Moree,0.158,5024.0,0.729,111.89,99.42,1.13,Cooks Hill,392.82,No Presence (20km+),0.134,0.024,202512,202412
2402,Warialda,,,,,,,Isle of Capri,319.94,No Presence (20km+),,,202512,202412
2403,Delungra,,,,,,,Isle of Capri,317.63,No Presence (20km+),,,202512,202412
2404,Bingara,,,,,,,Isle of Capri,353.35,No Presence (20km+),,,202512,202412
2405,Garah,,,,,,,West End,370.72,No Presence (20km+),,,202512,202412
2408,North Star,,,,,,,West End,301.32,No Presence (20km+),,,202512,202412
2415,Upper Karuah River,,,,,,,Cooks Hill,76.42,No Presence (20km+),,,202512,202412
2420,Dungog,0.467,10202.0,1.505,191.36,133.8,1.43,Cooks Hill,59.66,No Presence (20km+),0.634,-0.167,202512,202412
2421,Vacy,0.345,2887.0,2.7,71.71,69.19,1.04,Cooks Hill,61.37,No Presence (20km+),1.123,-0.778,202512,202412
2422,Gloucester,0.288,7632.0,1.597,104.95,83.66,1.25,Cooks Hill,136.99,No Presence (20km+),0.302,-0.014,202512,202412
2423,Bulahdelah,0.37,4873.0,2.051,86.49,63.88,1.35,Cooks Hill,92.93,No Presence (20km+),,,202512,202412
2424,Mount George (NSW),,,,,,,Cooks Hill,139.33,No Presence (20km+),,,202512,202412
2425,Stroud,1.261,7776.0,2.642,227.21,192.58,1.18,Cooks Hill,63.58,No Presence (20km+),,,202512,202412
2426,Coopernook,,,,,,,Cooks Hill,157.41,No Presence (20km+),,,202512,202412
2427,Harrington,,,,,,,Cooks Hill,158.67,No Presence (20km+),,,202512,202412
2428,Forster (NSW),0.371,34618.0,1.502,115.8,75.1,1.54,Cooks Hill,110.88,No Presence (20km+),0.205,0.166,202512,202412
2429,Wingham,0.257,9226.0,0.986,129.32,129.32,1.0,Cooks Hill,151.85,No Presence (20km+),0.133,0.124,202512,202412
2430,Taree,0.257,31869.0,0.909,128.37,70.26,1.83,Cooks Hill,157.71,No Presence (20km+),0.187,0.07,202512,202412
2431,South West Rocks,,,,,,,Cooks Hill,266.29,No Presence (20km+),,,202512,202412
2439,Kew (NSW),,,,,,,Cooks Hill,179.08,No Presence (20km+),,,202512,202412
2440,West Kempsey,0.042,3179.0,0.387,48.45,45.76,1.06,Cooks Hill,242.21,No Presence (20km+),0.106,-0.064,202512,202412
2441,Kundabung,,,,,,,Cooks Hill,242.75,No Presence (20km+),,,202512,202412
2443,Laurieton,,,,,,,Cooks Hill,173.87,No Presence (20km+),0.078,,202512,202412
2444,Port Macquarie,0.128,24340.0,0.758,80.38,59.41,1.35,Cooks Hill,185.48,No Presence (20km+),0.107,0.021,202512,202412
2445,Lake Cathie,0.14,4367.0,0.995,73.92,53.4,1.38,Cooks Hill,192.6,No Presence (20km+),0.057,0.083,202512,202412
2446,Wauchope,0.048,2819.0,0.376,64.64,39.96,1.62,Cooks Hill,194.2,No Presence (20km+),0.032,0.016,202512,202412
2447,Macksville,,,,,,,Cooks Hill,273.41,No Presence (20km+),,,202512,202412
2448,Nambucca Heads,0.09,3556.0,0.734,62.09,39.91,1.56,Cooks Hill,292.24,No Presence (20km+),0.046,0.044,202512,202412
2449,Bowraville,,,,,,,Cooks Hill,282.64,No Presence (20km+),,,202512,202412
2450,Coffs Harbour,0.153,26343.0,0.586,124.56,86.39,1.44,Isle of Capri,269.47,No Presence (20km+),0.107,0.046,202512,202412
2452,Toormina,0.059,3556.0,0.599,53.24,41.19,1.29,Isle of Capri,276.82,No Presence (20km+),0.089,-0.03,202512,202412
2453,Dorrigo,,,,,,,Isle of Capri,275.68,No Presence (20km+),,,202512,202412
2454,Bellingen,0.274,8294.0,1.363,103.67,65.56,1.58,Isle of Capri,289.91,No Presence (20km+),0.268,0.006,202512,202412
2455,Urunga,,,,,,,Isle of Capri,293.26,No Presence (20km+),,,202512,202412
2456,Woolgoolga,0.073,4750.0,0.649,55.3,44.26,1.25,Isle of Capri,245.16,No Presence (20km+),0.068,0.005,202512,202412
2460,Grafton,,,,,,,Isle of Capri,196.65,No Presence (20km+),0.023,,202512,202412
2463,Maclean,,,,,,,Isle of Capri,179.13,No Presence (20km+),0.104,,202512,202412
2464,Yamba (NSW),0.083,2427.0,0.802,49.39,47.98,1.03,Isle of Capri,176.75,No Presence (20km+),0.138,-0.055,202512,202412
2466,Iluka (NSW),,,,,,,Isle of Capri,169.55,No Presence (20km+),,,202512,202412
2469,Woombah,,,,,,,Isle of Capri,135.24,No Presence (20km+),,,202512,202412
2470,Casino,,,,,,,Isle of Capri,114.91,No Presence (20km+),,,202512,202412
2473,Evans Head,,,,,,,Isle of Capri,137.46,No Presence (20km+),,,202512,202412
2474,Kyogle,,,,,,,Isle of Capri,88.39,No Presence (20km+),,,202512,202412
2477,Alstonville,0.095,4810.0,0.456,102.77,53.23,1.93,Isle of Capri,112.98,No Presence (20km+),0.109,-0.014,202512,202412
2478,Ballina,0.135,16373.0,0.817,80.93,45.51,1.78,Isle of Capri,110.68,No Presence (20km+),0.173,-0.038,202512,202412
2479,Bangalow,0.444,9117.0,2.187,100.61,68.66,1.47,Isle of Capri,93.51,No Presence (20km+),0.338,0.106,202512,202412
2480,Goonellabah,0.082,12018.0,0.617,59.6,46.43,1.28,Isle of Capri,97.38,No Presence (20km+),0.082,0.0,202512,202412
2481,Byron Bay,0.302,14165.0,1.756,75.1,50.72,1.48,Isle of Capri,89.08,No Presence (20km+),0.294,0.008,202512,202412
2482,Mullumbimby,0.281,8216.0,1.065,131.25,72.9,1.8,Isle of Capri,75.74,No Presence (20km+),0.233,0.048,202512,202412
2483,Ocean Shores,0.174,7545.0,1.017,81.47,62.8,1.3,Isle of Capri,68.49,No Presence (20km+),0.34,-0.166,202512,202412
2484,Murwillumbah,0.101,7378.0,0.587,83.34,60.1,1.39,Isle of Capri,54.89,No Presence (20km+),0.1,0.001,202512,202412
2485,Tweed Heads,0.154,7196.0,0.708,83.37,58.52,1.42,Isle of Capri,38.13,No Presence (20km+),0.101,0.053,202512,202412
2486,Banora Point,0.074,8252.0,0.5,66.99,58.78,1.14,Isle of Capri,39.79,No Presence (20km+),0.102,-0.028,202512,202412
2487,Kingscliff,0.213,12701.0,0.919,123.14,90.25,1.36,Isle of Capri,47.78,No Presence (20km+),0.29,-0.077,202512,202412
2488,Bogangar,,,,,,,Isle of Capri,54.62,No Presence (20km+),,,202512,202412
2489,Pottsville,0.23,6242.0,0.905,124.33,81.98,1.52,Isle of Capri,59.6,No Presence (20km+),0.097,0.133,202512,202412
2490,Tumbulgum,,,,,,,Isle of Capri,44.9,No Presence (20km+),,,202512,202412
2500,Wollongong,0.255,34517.0,1.222,76.76,51.74,1.48,Bowral,31.99,No Presence (20km+),0.22,0.035,202512,202412
2502,Warrawong,0.073,2391.0,0.263,95.13,52.11,1.83,Bowral,45.13,No Presence (20km+),0.097,-0.024,202512,202412
2505,Port Kembla,,,,,,,Bowral,46.98,No Presence (20km+),,,202512,202412
2506,Berkeley,0.058,1087.0,0.676,38.35,38.35,1.0,Bowral,42.78,No Presence (20km+),,,202512,202412
2508,Helensburgh,0.799,28135.0,4.425,98.57,66.93,1.47,Miranda,29.28,No Presence (20km+),0.109,0.69,202512,202412
2515,Thirroul,0.664,31045.0,2.586,140.93,90.46,1.56,Miranda,38.59,No Presence (20km+),0.554,0.11,202512,202412
2516,Bulli,0.146,3813.0,1.61,46.9,31.5,1.49,Miranda,45.12,No Presence (20km+),0.106,0.04,202512,202412
2517,Woonona,0.142,6953.0,1.078,66.36,41.24,1.61,Miranda,46.89,No Presence (20km+),0.068,0.074,202512,202412
2518,Corrimal,0.104,6621.0,0.486,93.22,83.18,1.12,Bowral,47.01,No Presence (20km+),0.081,0.023,202512,202412
2519,Fairy Meadow,0.257,15049.0,1.439,77.85,54.27,1.43,Bowral,45.02,No Presence (20km+),0.324,-0.067,202512,202412
2525,Figtree,0.135,5359.0,0.838,73.9,53.07,1.39,Bowral,42.75,No Presence (20km+),0.06,0.075,202512,202412
2526,Unanderra,0.173,9548.0,0.806,98.13,62.41,1.57,Bowral,39.65,No Presence (20km+),0.105,0.068,202512,202412
2527,Albion Park,0.092,9628.0,0.517,88.37,61.49,1.44,Bowral,38.18,No Presence (20km+),0.044,0.048,202512,202412
2528,Warilla,0.032,2348.0,0.449,29.97,27.6,1.09,Bowral,45.64,No Presence (20km+),0.09,-0.058,202512,202412
2529,Shell Cove,0.141,15239.0,0.844,81.47,63.21,1.29,Bowral,45.78,No Presence (20km+),0.11,0.031,202512,202412
2530,Dapto,0.054,6358.0,0.465,52.54,45.24,1.16,Bowral,37.03,No Presence (20km+),0.051,0.003,202512,202412
2533,Kiama,0.564,38477.0,2.249,135.43,94.94,1.43,Bowral,48.69,No Presence (20km+),0.485,0.079,202512,202412
2534,Gerringong,0.765,19094.0,2.744,161.53,92.34,1.75,Bowral,52.9,No Presence (20km+),0.723,0.042,202512,202412
2535,Berry,0.761,28725.0,2.255,203.1,119.35,1.7,Bowral,49.55,No Presence (20km+),0.459,0.302,202512,202412
2536,Catalina,0.166,13488.0,0.765,113.86,72.35,1.57,Majura Park,101.08,No Presence (20km+),0.127,0.039,202512,202412
2537,Moruya,0.074,4019.0,0.479,82.6,63.44,1.3,Majura Park,110.88,No Presence (20km+),0.199,-0.125,202512,202412
2538,Milton (NSW),0.458,4384.0,2.727,100.81,75.21,1.34,Bowral,85.42,No Presence (20km+),0.354,0.104,202512,202412
2539,Ulladulla,0.323,29326.0,1.562,115.53,67.26,1.72,Bowral,94.85,No Presence (20km+),0.193,0.13,202512,202412
2540,Sanctuary Point,0.15,26261.0,0.824,90.68,69.93,1.3,Bowral,69.17,No Presence (20km+),0.206,-0.056,202512,202412
2541,Nowra,0.105,9644.0,0.462,95.88,83.55,1.15,Bowral,55.41,No Presence (20km+),0.085,0.02,202512,202412
2545,Bodalla,,,,,,,Majura Park,110.42,No Presence (20km+),,,202512,202412
2546,Narooma,0.143,6644.0,0.664,124.09,81.58,1.52,Majura Park,140.02,No Presence (20km+),0.227,-0.084,202512,202412
2548,Merimbula,0.108,4419.0,0.905,67.7,56.61,1.2,Majura Park,186.52,No Presence (20km+),0.048,0.06,202512,202412
2549,Millingandi,,,,,,,Majura Park,192.99,No Presence (20km+),,,202512,202412
2550,Bega,0.152,10895.0,1.181,70.86,62.9,1.13,Majura Park,151.34,No Presence (20km+),0.202,-0.05,202512,202412
2551,Eden,,,,,,,Majura Park,216.37,No Presence (20km+),,,202512,202412
2556,Bringelly,,,,,,,Miranda,37.61,No Presence (20km+),,,202512,202412
2557,Gregory Hills,0.176,10381.0,0.664,96.83,76.15,1.27,Miranda,33.45,No Presence (20km+),0.164,0.012,202512,202412
2558,Eagle Vale,0.101,2772.0,0.522,70.26,47.36,1.48,Miranda,30.93,No Presence (20km+),0.058,0.043,202512,202412
2559,Claymore,,,,,,,Miranda,31.96,No Presence (20km+),,,202512,202412
2560,Campbelltown (NSW),0.069,14312.0,0.456,52.75,41.88,1.26,Miranda,32.55,No Presence (20km+),0.082,-0.013,202512,202412
2563,Menangle Park,,,,,,,Miranda,38.34,No Presence (20km+),,,202512,202412
