postcode,total_population,num_sa1s,state,median_age,median_personal_income_weekly,median_hh_income_weekly,median_rent_weekly,median_mortgage_monthly,median_family_income_weekly,avg_household_size,pct_high_income_hh,pct_degree,pct_professional,pct_wfh,labour_force_participation_pct,unemployment_pct,seifa_irsad_score,seifa_irsad_decile,n_degree_total,n_prof_managerial,n_wfh,hh_total
2115,13209,30,NSW,37.97,827.33,2012.82,416.55,2645.64,2336.92,2.81,36.91,31.7,42.85,38.57,59.41,5.46,1005.17,7.6,3381,2573,2318,4486
2116,8354,23,NSW,37.81,800.38,1904.25,417.36,2501.93,2186.37,2.76,32.98,33.41,39.93,37.41,60.51,5.8,998.98,7.32,2250,1548,1454,2950
2117,23201,49,NSW,39.82,788.07,1942.07,462.46,2669.93,2164.05,2.81,35.44,34.96,44.06,39.94,57.03,5.03,1010.16,7.85,6541,4506,4023,7903
2118,30394,62,NSW,40.17,809.8,2139.05,557.9,2661.97,2208.74,3.02,37.85,44.79,49.55,43.55,59.04,5.15,1043.9,8.84,10700,6660,5865,9855
2119,12785,29,NSW,43.77,1092.32,3193.47,667.09,3366.26,3457.27,3.02,54.12,52.32,61.75,53.19,61.3,4.28,1116.51,9.83,5409,3747,3225,4142
2120,22286,59,NSW,42.23,996.21,2734.01,584.94,2828.53,3041.6,2.91,50.56,46.91,56.05,49.45,64.91,4.25,1090.41,9.57,8429,6256,5523,7515
2121,34640,80,NSW,39.34,953.39,2445.28,554.21,2755.66,2633.84,2.85,43.87,55.14,58.98,52.5,63.65,5.19,1070.35,9.81,15432,9957,8861,12002
2122,31530,68,NSW,40.08,812.57,2005.38,512.54,2632.65,2253.44,2.73,35.78,46.75,51.08,43.57,58.25,5.63,1033.93,9.0,12398,7469,6375,11349
2125,16618,41,NSW,43.64,1037.31,3136.25,709.95,3166.17,3283.35,3.12,56.44,47.07,58.73,50.27,63.0,3.8,1115.02,9.57,6383,4818,4130,5269
2126,19292,53,NSW,43.56,950.1,2915.7,705.37,2923.81,3074.0,3.14,53.16,48.73,57.14,52.73,62.43,4.54,1109.66,9.62,7645,5358,4935,6023
2127,26834,52,NSW,33.86,1081.76,2015.7,509.86,2245.02,2283.7,2.15,34.7,51.14,54.99,48.86,66.98,5.31,1056.24,9.7,11606,7878,7007,11017
2128,3599,9,NSW,35.05,547.33,1239.37,304.88,1422.42,1310.21,1.77,32.37,21.29,36.68,32.46,39.69,4.04,981.86,6.82,600,389,342,788
2130,8302,20,NSW,37.0,1304.63,2377.14,487.42,2735.22,3072.14,2.18,40.59,52.79,60.01,54.58,71.38,4.33,1060.06,9.68,3781,2935,2672,3556
2131,24082,58,NSW,38.3,899.97,1955.65,442.98,2322.77,2303.7,2.34,32.53,44.23,48.53,42.16,63.01,6.1,1007.67,8.61,9383,6070,5269,9653
2132,10845,26,NSW,42.85,830.68,2215.28,492.03,2824.27,2596.95,2.76,40.95,39.99,51.98,45.74,58.01,4.67,1031.35,8.65,3658,2606,2297,3747
2133,10991,26,NSW,41.38,819.95,1927.37,485.02,2578.41,2334.69,2.71,34.04,30.45,45.54,40.75,57.58,4.22,1020.82,7.69,2755,2280,2042,3993
2134,18387,38,NSW,34.37,710.95,1714.6,495.49,2516.2,1860.48,2.58,29.13,39.72,40.93,33.63,55.95,8.27,943.24,8.21,6612,3504,2888,6790
2135,28054,63,NSW,36.81,862.81,2445.2,550.91,2889.14,2584.16,2.88,43.18,44.41,46.38,33.7,62.15,6.47,1015.71,8.95,10960,6551,4772,9305
2136,7763,16,NSW,39.95,828.28,1952.07,477.66,2407.19,2292.1,2.75,34.29,35.33,45.17,38.73,59.25,5.82,1016.97,7.9,2280,1629,1397,2735
2137,28676,73,NSW,42.41,1047.82,2436.31,616.7,3071.94,2797.38,2.65,45.42,38.1,51.94,43.71,62.15,4.0,1066.78,8.74,9210,7452,6285,10584
2138,19721,45,NSW,35.8,1061.21,2313.4,559.93,2671.05,2587.52,2.47,42.08,52.83,56.12,48.78,66.15,5.39,1062.01,9.47,8959,5977,5213,7796
2140,21377,43,NSW,31.72,913.9,2064.67,461.84,2147.52,2183.35,2.6,33.27,49.57,42.52,36.72,67.24,7.16,998.04,8.25,8969,4819,4158,7838
2141,33054,83,NSW,35.88,702.4,1815.9,477.05,2224.2,1805.85,2.98,29.74,30.85,34.82,29.1,54.28,7.57,933.02,6.35,8736,5044,4194,10702
2142,31529,76,NSW,32.41,647.94,1559.19,384.71,1956.25,1665.51,2.97,24.13,28.68,30.25,25.66,50.05,9.51,878.32,5.3,7433,3579,3063,9993
2143,9970,23,NSW,35.46,617.71,1627.41,412.21,2151.19,1744.56,3.12,26.94,24.52,32.83,28.98,48.51,8.99,897.52,5.25,1961,1184,1046,3032
2144,40679,87,NSW,32.28,562.57,1563.49,409.19,1997.6,1456.14,3.34,24.25,23.65,23.99,18.27,46.03,11.5,816.84,4.11,8008,3220,2391,11367
2145,88453,185,NSW,36.58,859.39,2084.55,451.54,2293.77,2289.29,2.91,37.01,37.55,42.56,38.99,58.93,6.05,1007.86,6.96,26049,16681,15233,28834
